date_time,vehicle_id,coord,gps_coord,spd,edge,lane,displacement,turn_angle,next_tls
2023-03-02 17:00:53.223,97,"[2761.649439406791, 742.2457689608125]","[114.33188564843077, 30.503530977018293]",43.31,-231808159#2,-231808159#2_1,1616.14,110.3,()
2023-03-02 17:00:53.214,97,"[2750.3659889502524, 746.4199271333608]","[114.33176715994446, 30.503566197329626]",34.23,-231808159#2,-231808159#2_1,1604.11,117.87,()
2023-03-02 17:00:53.204,97,"[2742.974842975483, 752.0744451827749]","[114.33168882569109, 30.503615591635768]",26.56,:2401390759_3,:2401390759_3_0,1594.6,164.37,()
2023-03-02 17:00:53.195,97,"[2741.8594746010704, 759.1869330638776]","[114.33167546316493, 30.50367946644264]",20.47,:2401390759_3,:2401390759_3_0,1587.22,189.92,()
2023-03-02 17:00:53.185,97,"[2742.8962918827306, 764.7660713588986]","[114.33168488249909, 30.503729978423106]",14.83,268000578#3,268000578#3_1,1581.54,194.98,()
2023-03-02 17:00:53.175,97,"[2743.960793935953, 768.7438121229943]","[114.33169498440486, 30.503766061155595]",30.74,268000578#3,268000578#3_1,1577.42,194.98,()
2023-03-02 17:00:53.166,97,"[2746.1669163348497, 776.9874627294982]","[114.33171592007376, 30.503840840647428]",46.02,268000578#3,268000578#3_1,1568.88,194.98,()
2023-03-02 17:00:53.157,97,"[2749.469970688644, 789.3300353993535]","[114.33174726546382, 30.50395280212198]",62.22,268000578#3,268000578#3_1,1556.09,195.3,()
2023-03-02 17:00:53.147,97,"[2754.5220620793816, 805.8450778056176]","[114.3317957909711, 30.504102747591702]",78.42,268000578#3,268000578#3_1,1538.81,197.7,()
2023-03-02 17:00:53.138,97,"[2761.1427888865483, 826.5854240744582]","[114.33185960571531, 30.504291114827815]",93.84,268000578#3,268000578#3_1,1517.03,197.7,()
2023-03-02 17:00:53.129,97,"[2769.064570063456, 851.4015038585075]","[114.3319359611321, 30.504516498517727]",102.09,268000578#3,268000578#3_1,1490.96,197.7,()
2023-03-02 17:00:53.119,97,"[2777.6835217633275, 878.4015671349802]","[114.3320190367019, 30.50476171746737]",103.77,268000578#3,268000578#3_1,1462.6,197.7,()
2023-03-02 17:00:53.110,97,"[2786.6743868928806, 905.7622594491532]","[114.33210589551823, 30.50501026642351]",101.61,268000578#2,268000578#2_1,1433.78,202.2,()
2023-03-02 17:00:53.100,97,"[2797.319454345204, 931.8472725357392]","[114.3322102893783, 30.50524766893397]",104.05,268000578#2,268000578#2_1,1405.55,202.2,()
2023-03-02 17:00:53.091,97,"[2808.2205104925224, 958.5595684919596]","[114.33231719414984, 30.50549078034967]",102.51,268000578#2,268000578#2_1,1376.65,202.24,()
2023-03-02 17:00:53.080,97,"[2820.6160878502988, 983.9519865092412]","[114.33243998269133, 30.505722312814108]",105.39,268000578#1,268000578#1_1,1348.17,208.71,()
2023-03-02 17:00:53.070,97,"[2834.668589872166, 1009.6130771578686]","[114.3325799546374, 30.505956620262133]",102.4,268000578#1,268000578#1_1,1318.9,208.71,()
2023-03-02 17:00:53.036,97,"[2848.5119135559007, 1034.4268573030552]","[114.33271795821973, 30.506183245258704]",104.64,268000578#1,268000578#1_1,1290.45,215.46,()
