dateandtime,vehid,coord,gps_coord,spd,edge,lane,displacement,turn_angle,next_tls
2023-03-02 06:44:34.340,3,"[2485.939532884243, 2351.267408900975]","[114.32861873623747, 30.51797598347213]",49.52,282304746,282304746_0,108.84,305.08,()
2023-03-02 06:44:34.341,4,"[2767.922544884627, 1419.6904756621052]","[114.33178411390351, 30.509638864419298]",50.39,-725894815#0,-725894815#0_0,105.95,37.7,"(('838310065', 0, 2688.6870921229975, 'y'),)"
2023-03-02 06:44:34.342,5,"[1822.631752604701, 1787.5936462061165]","[114.3218521232153, 30.512753175121933]",37.43,:2713731849_1,:2713731849_1_0,64.77,270.95,()
2023-03-02 06:44:34.343,6,"[1636.2816538400261, 1670.8383557621191]","[114.31994094451733, 30.51166083434545]",37.05,-161503499#6,-161503499#6_0,32.83,183.13,()
2023-03-02 06:44:34.345,7,"[199.59518902966374, 808.1523317994884]","[114.30519866813138, 30.503576036946132]",13.98,:2401390757_6,:2401390757_6_0,5.43,86.03,()
2023-03-02 06:44:34.347,0,"[935.7733213184114, 569.0500863355425]","[114.31292143421639, 30.50157909422182]",37.33,231808116#3,231808116#3_0,268.26,15.43,()
2023-03-02 06:44:34.348,1,"[2250.7832414794584, 932.5894414775977]","[114.32652058570976, 30.505137708586105]",66.07,236668173#3,236668173#3_1,217.65,289.1,()
2023-03-02 06:44:34.349,2,"[1406.0799744312303, 1125.8550006948037]","[114.31767932070368, 30.506699024851056]",68.38,-267612556#5,-267612556#5_1,164.67,91.56,()
2023-03-02 06:44:34.350,3,"[2474.2371267702547, 2360.1678824469764]","[114.32849470091708, 30.5180537134035]",52.93,282304746,282304746_0,123.54,307.26,()
2023-03-02 06:44:34.351,4,"[2776.403616204456, 1430.6628111835357]","[114.33186970473413, 30.509739578761305]",49.92,-725894815#0,-725894815#0_0,119.82,37.7,"(('838310065', 0, 2674.8192283862986, 'y'),)"
2023-03-02 06:44:34.353,5,"[1811.323097927152, 1787.7844719477225]","[114.32173434292731, 30.512752474179084]",40.71,-265762563#1,-265762563#1_0,76.08,270.98,()
